title,rating,ratingDescription,release year,user rating score
Unbreakable Kimmy Schmidt,TV-14,90,2016,NA
The Get Down,TV-MA,110,2017,80
Sense8,TV-MA,110,2017,81
Love,TV-MA,110,2017,NA
Bordertown,TV-14,90,2016,86
Girlfriends' Guide to Divorce,TV-14,90,2015,63
Schitt's Creek,TV-14,90,2016,74
The Carmichael Show,TV-14,90,2016,69
Chelsea,TV-MA,110,2017,NA
Abstract: The Art of Design,TV-14,90,2017,NA
Cooper Barrett's Guide to Surviving Life,TV-14,90,2016,NA
The Great British Baking Show,TV-PG,70,2016,94
Life in Pieces,TV-14,90,2015,68
Crazy Ex-Girlfriend,TV-14,90,2017,NA
Fried,TV-MA,110,2015,NA
The Great Gilly Hopkins,PG,60,2016,69
The Magicians,TV-MA,110,2016,89
One Day at a Time,TV-PG,70,2017,NA
No Tomorrow,TV-14,90,2016,NA
Hot Girls Wanted: Turned On,TV-MA,110,2017,NA
13 Reasons Why,TV-MA,110,2017,99
Better Off Single,TV-MA,110,2016,NA
Sandy Wexler,TV-14,90,2017,92
Chewing Gum,TV-MA,110,2017,93
The Matchbreaker,PG,60,2016,79
Tramps,TV-MA,110,2017,NA
Slam,TV-MA,110,2017,NA
Cheer Squad,TV-PG,70,2016,61
Almost Adults,NR,124,2016,NA
The Waterboy,PG-13,80,1998,82
10 Things I Hate About You,PG-13,80,1999,68
Grease,PG,60,1978,86
How to Lose a Guy in 10 Days,PG-13,80,2003,56
The Benchwarmers,PG-13,80,2006,77
Step Up,PG-13,80,2006,64
High School Musical 2,TV-G,35,2007,58
Twilight,PG-13,80,2008,89
Coraline,PG,60,2009,95
Hannah Montana: The Movie,G,35,2009,56
The Office (U.S.),TV-14,90,2012,97
Friday Night Lights,TV-PG,70,2010,81
StarStruck,TV-G,35,2010,NA
Grey's Anatomy,TV-14,90,2016,98
Prison Break,TV-14,90,2008,98
90210,TV-14,90,2013,62
Gossip Girl,TV-14,90,2012,96
How I Met Your Mother,TV-PG,70,2014,94
Glee,TV-PG,70,2015,92
The Vampire Diaries,TV-14,90,2017,91
Family Guy,TV-MA,110,2015,98
Criminal Minds,TV-14,90,2016,98
Friends,TV-14,90,2003,98
Mean Girls 2,PG-13,80,2011,NA
The Secret Life of the American Teenager,TV-14,90,2013,81
That '70s Show,TV-14,90,2005,89
Gilmore Girls,TV-14,90,2006,91
Parenthood,TV-14,90,2014,79
Heartland,TV-PG,70,2015,85
Pretty Little Liars,TV-14,90,2016,96
Shameless (U.S.),TV-MA,110,2016,97
Switched at Birth,TV-14,90,2015,83
New Girl,TV-14,90,2016,91
Hart of Dixie,TV-PG,70,2014,81
The Client List,TV-14,90,2013,92
The Carrie Diaries,TV-14,90,2013,NA
Safe Haven,PG-13,80,2013,62
Baby Daddy,TV-14,90,2016,80
The Night Shift,TV-14,90,2015,93
Reign,TV-14,90,2015,79
Grace and Frankie,TV-MA,110,2017,90
How to Get Away with Murder,TV-14,90,2016,95
Fuller House,TV-G,35,2016,90
Finding Dory,PG,60,2016,98
